auto_name,param,required,default_kind,default_scalar,default_obj_id,kind
AutoHINT,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoHINT,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoHINT,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoHINT,valid_loss,True,empty,,,POSITIONAL_OR_KEYWORD
AutoHINT,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoInformer,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoInformer,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoInformer,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoInformer,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoInformer,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoInformer,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoInformer,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoInformer,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoInformer,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoInformer,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoInformer,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoInformer,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoInformer,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoKAN,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoKAN,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoKAN,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoKAN,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoKAN,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoKAN,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoKAN,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoKAN,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoKAN,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoKAN,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoKAN,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoKAN,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoKAN,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoLSTM,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoLSTM,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoLSTM,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoLSTM,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoLSTM,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoLSTM,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoLSTM,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoLSTM,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoLSTM,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
AutoLSTM,refit_with_val,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoLSTM,search_alg,False,object,,533e6ebe1215,POSITIONAL_OR_KEYWORD
AutoLSTM,valid_loss,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoLSTM,verbose,False,scalar,False,,POSITIONAL_OR_KEYWORD
AutoMLP,alias,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoMLP,backend,False,scalar,ray,,POSITIONAL_OR_KEYWORD
AutoMLP,callbacks,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoMLP,config,False,scalar,,,POSITIONAL_OR_KEYWORD
AutoMLP,cpus,False,scalar,32,,POSITIONAL_OR_KEYWORD
AutoMLP,gpus,False,scalar,1,,POSITIONAL_OR_KEYWORD
AutoMLP,h,True,empty,,,POSITIONAL_OR_KEYWORD
AutoMLP,loss,False,object,,8457c3e30e7f,POSITIONAL_OR_KEYWORD
AutoMLP,num_samples,False,scalar,10,,POSITIONAL_OR_KEYWORD
